title,caption,topic,country
السودان يطلق أول محطة لتوليد الكهرباء بالطاقة الشمسية في مدينة الأبيض,عمّال سودانيون يثبتون الألواح الشمسية فوق أسطح منشأة كهربائية جديدة في ولاية شمال كردفان (رويترز),طاقة,السودان
موريتانيا تعلن عن مناهج محدثة لدعم تعليم اللغة الفرنسية في المدارس الريفية,معلمون وطلاب في إحدى قرى الشرق الموريتاني يناقشون كتاباً مدرسياً جديداً ضمن حصة للغة الفرنسية (رويترز),تعليم,موريتانيا
مزارعو جزر القمر يحذرون من تسارع تآكل السواحل بسبب اختفاء أشجار المانغروف,مشهد لساحل جزيرة أنجوان بعد تراجع مساحات غابات المانغروف وظهور الأراضي المالحة (وكالة البيئة القمرية),بيئة,جزر القمر
أطفال غزة بين الدراسة تحت الأنقاض والسعي للبقاء وسط تصاعد أزمات الكهرباء والمياه,تلاميذ يحملون حقائبهم يسيرون في طريق وسط ركام منازل مدمرة شرق غزة مع بقايا سبورة مدرسية ظاهرة بين الأنقاض (الجزيرة),قضايا اجتماعية,فلسطين
شباب عُمان يطلقون مبادرة لإحياء الصناعات التقليدية في مسقط,مجموعة من الشباب العُماني ينحتون قطعاً خشبية داخل ورشة تراثية في سوق مطرح بالعاصمة مسقط (الجزيرة),قضايا اجتماعية,عُمان
موجة نزوح واسعة تضرب قرى النيل الأزرق بعد اشتداد المواجهات القبلية,عائلات سودانية تحمل أمتعتها على عربات الكارو وتسير على طريق ترابي وسط أشجار السنط في ولاية النيل الأزرق، باحثة عن أماكن أكثر أمناً بعد اندلاع اشتباكات قبلية مؤخراً (رويترز),قضايا اجتماعية,السودان
تحديات السيول تهدد عودة المدارس في مناطق ريفية بجنوب السودان,مجموعة من الطلاب يجتازون طريقاً موحلاً وهم يحملون حقائبهم المدرسية في قرية نائية بولاية النيل الأزرق بعد أمطار غزيرة أغرقت محيط المدرسة (تصوير: وكالة السودان للأنباء),تعليم,السودان
نساء موريتانيا يواجهن تحديات البطالة في الأحياء الشعبية بنواكشوط,"مجموعة من السيدات الموريتانيات يعرضن منتجات تقليدية في سوق صغير بحي ""المقاطعة الخامسة"" بالعاصمة نواكشوط",قضايا اجتماعية,موريتانيا
"""الأردن يطلق أول حاضنة إلكترونية لدعم ريادة الأعمال النسائية في البادية الشمالية""",مجموعة من رائدات الأعمال يقدمن أفكارهن أمام لجنة تقييم في مركز ابتكار رقمي بمحافظة المفرق (رويترز),تقنية,الأردن
مدارس موريتانية تبدأ تدريس الأمازيغية لأول مرة في مبادرة لتعزيز التنوع الثقافي,تلاميذ يرددون عبارات باللغة الأمازيغية داخل فصل مدرسي جديد في مدينة النعمة شرقي موريتانيا (الصحافة الموريتانية),تعليم,موريتانيا
خطة إماراتية لتعزيز استثمارات الغذاء في الساحل الشرقي تواكب تحديات الأمن الغذائي,مزارعون إماراتيون يروون محاصيلهم في إحدى المزارع الحديثة بإمارة الفجيرة وسط معدات زراعية متطورة توفرها مشاريع استثمارية جديدة لدعم إنتاج الغذاء المحلي (رويترز),اقتصاد,الإمارات
حادث تصادم بين حافلتين مدرسيتين يخلّف إصابات في الدوحة والأهالي يطالبون بتشديد إجراءات السلامة,عناصر من الدفاع المدني القطري يحيطون بإحدى الحافلتين وهي متوقفة وسط شارع رئيسي غرب الدوحة، بينما يتجمع عدد من الأهالي والطلاب في مكان الحادث (قنا),حوادث,قطر
تزايد القلق من تسرب النفايات البلاستيكية إلى الشعاب المرجانية بجزر القمر,باحثون بيئيون يجمعون عينات للنفايات البلاستيكية من شاطئ بالقرب من موروني، حيث تظهر كميات كبيرة من المخلفات متناثرة بين الرمال والصخور (الوكالة الوطنية للبيئة),بيئة,جزر القمر
جزر القمر تطلق برنامجا لتدريب المعلمين الريفيين لتعزيز التعليم الابتدائي,معلمون ومشرفون تربويون يناقشون خطط التدريس في مدرسة ريفية بجزيرة أنجوان (الوكالة الوطنية للأنباء),تعليم,جزر القمر
موريتانيا تعلن عن اكتشاف حقل غاز جديد قرب السواحل الشمالية,منصة تنقيب بحرية ترفع العلم الموريتاني قبالة شواطئ نواذيبو,طاقة,موريتانيا
ارتفاع حالات العنف الأسري يُعيد النقاش حول حماية المرأة في السعودية,عناصر من الشرطة السعودية يرافقون سيدة خارجة من مبنى الحماية الأسرية في الرياض بعد تقديمها بلاغا ضد العنف (رويترز),قضايا اجتماعية,السعودية
انفجار لغم أرضي يودي بحياة ثلاثة رعاة أغنام في ريف الحسكة الشمالي,سيارات إسعاف وعناصر من الدفاع المدني يتجمعون حول موقع الانفجار في أرض زراعية قرب قرية أم مدفع شمال الحسكة (وكالة الأنباء السورية),حوادث,سوريا
الكويت تبدأ تشغيل أول محطة تجريبية للطاقة الشمسية في منطقة العبدلي,ألواح شمسية مركبة حديثاً في محطة العبدلي للطاقة الشمسية شمال الكويت (وكالة الأنباء الكويتية),طاقة,الكويت
صحراء أدرار الموريتانية تستقبل أول مشروع للزراعة الذكية بالمياه المالحة,عاملون محليون يراقبون نمو نباتات الطماطم في بيوت زجاجية متطورة وسط الكثبان الرملية قرب أطار (الجزيرة),بيئة,موريتانيا
تونس تدشن أول مزرعة رياح بحرية تجريبية قبالة سواحل طبرقة,توربينات رياح عملاقة تدور فوق منصات عائمة في البحر الأبيض المتوسط، وعلى الشاطئ صيادون يراقبون المشروع من بعيد (الأناضول),طاقة,تونس
المغرب يطلق أول شبكة للصناعات الخضراء شمال البلاد لتعزيز التصدير نحو أوروبا,مشهد عام لمجمع صناعي حديث في تطوان يضم مصانع ومخازن وسط المساحات الخضراء (الجزيرة),اقتصاد,المغرب
طرابلس تطلق منظومة إلكترونية موحدة لتسهيل معاملات الجمارك البحرية,موظفون في مصلحة الجمارك الليبية يراقبون شاشات النظام الجديد بميناء طرابلس (رويترز),تقنية,ليبيا
موجة نزوح جديدة في ديالى بسبب تجدد الاشتباكات القبلية ومخاوف من تفاقم الأوضاع الإنسانية,أطفال من الأسر النازحة في ديالى يجلسون داخل خيمة مؤقتة وسط طقس حار (رويترز),قضايا اجتماعية,العراق
تهديد القوارض للمحاصيل يثير قلق مزارعي الضفة الموريتانية,حقول الذرة في منطقة روصو تظهر عليها آثار تخريب جحافل القوارض بعد موسم أمطار غير معتاد (الجزيرة),بيئة,موريتانيا
انتشار العنف في المدارس الجزائرية يثير قلق أولياء الأمور والسلطات,مجموعة من الطلاب في ساحة مدرسة بالعاصمة الجزائرية تحت مراقبة مشددة من الإدارة لتفادي وقوع مشاجرات بين التلاميذ (الجزيرة),قضايا اجتماعية,الجزائر
المغرب يوسع بعثاته الدبلوماسية في أمريكا الجنوبية لتعزيز العلاقات الاستراتيجية,وزير الخارجية المغربي ناصر بوريطة خلال حفل افتتاح سفارة المغرب الجديدة في العاصمة الأرجنتينية بوينس آيرس (وزارة الشؤون الخارجية المغربية),سياسة,المغرب
شباب الأردن يفاجئون الوحدات بهدف قاتل ويصعدون لنهائي كأس الاتحاد الأردني,لاعبو شباب الأردن يحتفلون بهدفهم في الدقائق الأخيرة وسط خيبة أمل واضحة على وجوه لاعبي الوحدات (الأردنية),رياضة,الأردن
تونس تطلق أول منصة حكومية رقمية لدعم ريادة الأعمال النسائية,وزيرة تكنولوجيا الاتصال التونسية خلال تدشين المنصة الجديدة بحضور رائدات أعمال شابات في العاصمة تونس (الوكالة الوطنية),تقنية,تونس
انتشار حالات الحمى النزفية يثير قلقاً في ولايات الشرق الموريتاني,عامل صحة يرتدي ملابس وقائية يفحص مريضاً في عيادة ريفية بضواحي مدينة النعمة (الجزيرة),صحة,موريتانيا
