title,caption,topic,country
مقتل وإصابة ٦ مدنيين بينهم نساء وأطفال بانفجار عبوة ناسفة في تعز,سيارة متضررة جراء انفجار في منطقة ريفية بتعز، وشهود عيان يحيطون بالمكان (وكالة الأنباء اليمنية - سبأ),حوادث,اليمن
"البحرين تدشن المرحلة الثانية من ""مدينة الأعمال اللوجستية"" لتعزيز تنافسيتها الإقليمية",صورة جوية تظهر التوسع الجديد لمدينة الأعمال اللوجستية في البحرين وبنيتها التحتية المتطورة للخدمات اللوجستية والمستودعات الحديثة (وكالة أنباء البحرين).,اقتصاد,البحرين
البحرين تطلق التشغيل التجريبي لأكبر محطة طاقة شمسية عائمة بالمنطقة,لقطة جوية بانورامية تظهر امتداد الألواح الشمسية العائمة في مشروع محطة الطاقة الشمسية بمياه البحرين الإقليمية (رويترز),طاقة,البحرين
رغم شح الإمكانيات: نادي مخيم بلاطة يضيء شعلة الرياضة لمئات الشباب في نابلس,مجموعة من الشبان يتمرنون بحماس على ملعب ترابي مضاء بأضواء كاشفة بسيطة، داخل مخيم بلاطة للاجئين في نابلس، فلسطين. (مصدر محلي),رياضة,فلسطين
المغرب يدشن مركزاً وطنياً جديداً لألعاب القوى بتكلفة تتجاوز 150 مليون درهم,المركز الرياضي الجديد في ضواحي الرباط يمثل نقلة نوعية في دعم المواهب الشابة المغربية في ألعاب القوى (وكالة المغرب العربي للأنباء),رياضة,المغرب
"نواكشوط تُطلق مشروع ""التاجر الرقمي"" لتمكين الشركات الموريتانية من الانتقال للبيع عبر الإنترنت","وزير التجارة والصناعة التقليدية الموريتاني يُلقي كلمة خلال إطلاق منصة ""التاجر الرقمي"" في فعالية بالعاصمة نواكشوط، ويظهر خلفه شاشات تعرض واجهة المنصة الجديدة.",تقنية,موريتانيا
نداءات في البحرين لإنشاء منصة وطنية لدعم وتمكين الشباب المتطوع,شباب بحرينيون يشاركون في مبادرة مجتمعية لتنظيف السواحل، في لقطة تعكس حماسهم للعمل التطوعي (وكالة الأنباء البحرينية),قضايا اجتماعية,البحرين
الصحة النفسية للشباب بالبحرين.. تحديات متصاعدة تدفع لمبادرات مجتمعية جديدة,شابة بحرينية تتفاعل مع ورشة عمل حول الدعم النفسي في أحد المراكز الشبابية بالمنامة، في إطار مبادرات مجتمعية حديثة (وكالة أنباء البحرين).,قضايا اجتماعية,البحرين
الاتحاد الجزائري يطلق برنامجاً وطنياً لتأهيل المدربين الشباب ودعم أندية الهواة,مدربون شباب جزائريون يشاركون في ورشة عمل تدريبية ضمن البرنامج الجديد في المركز التقني بسيدي موسى (الجزيرة),رياضة,الجزائر
العراق: انطلاق المرحلة الثانية لمدينة الرافدين الصناعية في ذي قار لتعزيز التنوع الاقتصادي,عمال ومهندسون يشرفون على أعمال البناء ضمن المرحلة الأولى من مدينة الرافدين الصناعية في محافظة ذي قار، جنوبي العراق. (أ ف ب),اقتصاد,العراق
