title,caption,topic,country
البحرين تُطلق مشروع الطاقة الشمسية المتكاملة في منطقة خليج توبلي لتعزيز شبكة الكهرباء الوطنية,ألواح شمسية ضخمة تمتد على مساحات واسعة في المنطقة الساحلية بالبحرين ضمن خطة التحول نحو الطاقة النظيفة (رويترز),طاقة,البحرين
"موريتانيا تُطلق مهرجاناً وطنياً للموسيقى التقليدية احتفاءً بفن ""التيدينيت""",عازف موريتاني يُمسك بآلة التيدينيت الوترية التقليدية خلال أمسية افتتاح المهرجان في العاصمة نواكشوط، وسط حضور جماهيري واسع من مختلف الولايات (الوكالة الموريتانية للأنباء),ثقافة,موريتانيا
قطر تُطلق مبادرة وطنية لدعم كبار السن وتعزيز دورهم في النسيج المجتمعي,مجموعة من كبار السن القطريين يشاركون في فعالية اجتماعية بأحد مراكز الرعاية في الدوحة (الجزيرة),مجتمع,قطر
الإمارات تُطلق أول شبكة اتصالات تحت الماء لمراقبة خطوط الأنابيب البحرية في الخليج,غواص يختبر أجهزة الاستشعار المثبتة على قاع البحر قبالة سواحل أبوظبي ضمن المرحلة التجريبية للمشروع (وام),تقنية,الإمارات
موريتانيا تطلق حملة وطنية للكشف المبكر عن سرطان الثدي في المناطق الريفية,فريق طبي متنقل يجري فحوصات مجانية لنساء في إحدى قرى ولاية تكانت بموريتانيا (الأناضول),صحة,موريتانيا
جزر القمر تُطلق برنامجاً وطنياً لمحو الأمية بالمناطق الريفية النائية بتمويل خليجي,معلمة تُدرّس مجموعة من النساء في أحد مراكز التعليم المجتمعي بجزيرة أنجوان (الجزيرة),تعليم,جزر القمر
انهيار سقف مبنى مدرسي قديم في القيروان يُخلّف إصابات في صفوف التلاميذ,عناصر الحماية المدنية التونسية تتدخل لانتشال المصابين من تحت الأنقاض في إحدى مدارس القيروان (الأناضول),حوادث,تونس
العراق يُدشّن محطة توليد كهرباء بالطاقة الشمسية في الأنبار بطاقة إنتاجية تتجاوز 500 ميغاواط,ألواح شمسية ممتدة على مساحات واسعة في صحراء محافظة الأنبار غرب العراق، ضمن مشروع الطاقة المتجددة الذي تموّله شراكة بين الحكومة العراقية وشركات دولية متخصصة (الصحافة العراقية),طاقة,العراق
البرلمان اللبناني يستعد لجلسة تشريعية استثنائية لمناقشة قانون الانتخابات الجديد,مبنى مجلس النواب اللبناني في وسط بيروت يشهد تحركات مكثفة من الكتل النيابية قبيل انعقاد الجلسة (الجزيرة),سياسة,لبنان
موجة جفاف حادة تضرب أحواض نهر عطبرة وتهدد مصادر المياه الجوفية في شمال السودان,مجرى نهر عطبرة في شمال السودان يكشف عن قاع متشقق وجاف في مشهد غير مألوف، وسط تحذيرات من خبراء المناخ من تراجع حاد في منسوب المياه الجوفية بالمنطقة جراء موسم أمطار شحيح وارتفاع درجات الحرارة (الجزيرة),بيئة,السودان
