title,caption,topic,country
الكويت تُطلق منهجاً وطنياً جديداً للتربية المالية في المراحل الابتدائية,طلاب في إحدى مدارس الكويت الحكومية خلال حصة دراسية تفاعلية ضمن البرنامج التعليمي الجديد (وكالة الأنباء الكويتية),تعليم,الكويت
العراق يُطلق مشروعاً وطنياً لتأهيل المدارس المتهالكة في المحافظات الجنوبية,طلاب يجلسون في فصل دراسي متهالك بإحدى مدارس محافظة ذي قار جنوبي العراق في انتظار إعادة الترميم (رويترز),تعليم,العراق
تونس تُطلق منصة وطنية للهوية الرقمية تُتيح الوصول إلى 40 خدمة حكومية بنقرة واحدة,مواطنون يستخدمون هواتفهم الذكية أمام مقر وزارة تكنولوجيات الاتصال في تونس العاصمة للاستفادة من الخدمات الإلكترونية الجديدة (رويترز),تقنية,تونس
انهيار سقف مستودع قديم في ميناء جيبوتي يخلّف عدة إصابات في صفوف العمال,فرق الإنقاذ تسارع إلى موقع الانهيار لانتشال العمال المحاصرين تحت الأنقاض (رويترز),حوادث,جيبوتي
انهيار جسر معلق في ريف دير الزور يودي بحياة 4 أشخاص ويصيب العشرات,جسر دير الزور المعلق فوق نهر الفرات الذي شهد انهياراً مفاجئاً أسفر عن سقوط عدد من المركبات في المياه (الجزيرة),حوادث,سوريا
جزر القمر تُعلن تشكيل مجلس استشاري جديد لتعزيز اللامركزية الإدارية في الجزر الثلاث,رئيس جزر القمر غزالي عثماني خلال احتفالية رسمية بمقر الرئاسة في مدينة موروني بعد الإعلان عن تشكيل المجلس الاستشاري الجديد (رويترز),سياسة,جزر القمر
قطر تطلق مبادرة وطنية لدعم كبار السن في الأحياء السكنية عبر شبكة متطوعين محليين,متطوعون قطريون شباب يزورون أحد المسنين في منزله بمنطقة الريان ضمن فعاليات المبادرة الجديدة التي أطلقتها وزارة التنمية الاجتماعية والأسرة (قنا),مجتمع,قطر
مصر ترفع أسعار الكهرباء على القطاع الصناعي وسط تحذيرات من تراجع التنافسية,منشآت صناعية في مدينة العاشر من رمضان تواجه ضغوطاً متزايدة جراء ارتفاع تكاليف الطاقة (الجزيرة),اقتصاد,مصر
انهيار سقف مدرسة ابتدائية في المنيا يُخلّف إصابات في صفوف التلاميذ,فرق الإنقاذ والأهالي يتجمعون أمام مبنى المدرسة المتضررة في إحدى قرى المنيا عقب الحادثة (الجزيرة),حوادث,مصر
أطفال إدلب بين مقاعد الدراسة والعمل في الأسواق.. براءة مسروقة تحت وطأة الفقر,طفل سوري يبيع الخضروات في سوق شعبي بمدينة إدلب بدلاً من ارتياد المدرسة (الجزيرة),قضايا اجتماعية,سوريا
المنتخب السوري لكرة القدم يستعد لتصفيات كأس آسيا بمعسكر تدريبي مكثف في دمشق,لاعبو المنتخب السوري خلال إحدى جلسات التدريب في ملعب عبد الله المشهراوي بالعاصمة دمشق استعداداً للمرحلة المقبلة من التصفيات (الأناضول),رياضة,سوريا
الأردن يُطلق منهجاً وطنياً لتعليم اللغة الأمازيغية في مدارس المملكة ضمن مبادرة للتنوع الثقافي,طلاب في إحدى مدارس عمّان خلال حصة تعليمية ضمن المناهج الوطنية المطوّرة (بترا),تعليم,الأردن
"**
أزمة الكتب المدرسية تُهدد العام الدراسي في بنغازي وآلاف الطلاب بلا مناهج

**","**
طلاب ليبيون يجلسون في فصل دراسي بمدرسة حكومية في بنغازي دون كتب، في ظل شُح حاد بالمناهج التعليمية طال غالبية المراحل الدراسية (رويترز)",قضايا اجتماعية,ليبيا
"ظاهرة ""التسول الإلكتروني"" تجتاح منصات التواصل في مصر.. وخبراء يطالبون بتشريعات رادعة",شاب يستخدم هاتفه الذكي في أحد شوارع القاهرة المزدحمة لبث مباشر عبر الإنترنت (الجزيرة),مجتمع,مصر
جزر القمر تُطلق برنامجاً وطنياً لتعليم اللغة العربية في المدارس الابتدائية بدعم خليجي,طلاب في إحدى مدارس مورني يتلقون حصة في اللغة العربية ضمن المناهج الجديدة المُعتمدة (الجزيرة),تعليم,جزر القمر
انهيار جسر مؤقت في ضواحي جيبوتي العاصمة يوقع عدداً من المصابين وسط فوضى مرورية,عناصر الدفاع المدني الجيبوتي يعملون على انتشال المركبات المتضررة من موقع الانهيار قرب منطقة بلبلة (أرشيفية),حوادث,جيبوتي
السودان.. موجة جفاف حادة تهدد أحواض النيل الأزرق وتُهجّر آلاف المزارعين,مزارعون سودانيون يقفون أمام أراضيهم المتشققة الجافة في ولاية سنار إثر تراجع منسوب مياه النيل الأزرق بصورة غير مسبوقة (رويترز),بيئة,السودان
ليبيا تُطلق حملة وطنية لتنظيف السواحل من النفايات البلاستيكية بمشاركة آلاف المتطوعين,متطوعون ليبيون يجمعون النفايات البلاستيكية المتراكمة على شاطئ طرابلس خلال الحملة الوطنية لتنظيف السواحل (الأناضول),بيئة,ليبيا
"قطر تُطلق مهرجان ""آفاق"" للأدب العربي الكلاسيكي في نسخته الأولى بمشاركة شعراء من 12 دولة",المكتبة الوطنية القطرية تستضيف فعاليات المهرجان الذي يُسلّط الضوء على إحياء التراث الشعري العربي الأصيل (الجزيرة - 2025),ثقافة,قطر
