title,caption,topic,country
السعودية تُطلق مبادرة وطنية لدعم ذوي الاحتياجات الخاصة في سوق العمل بـ12 منطقة إدارية,متدربون من ذوي الاحتياجات الخاصة خلال جلسة تأهيل مهني في أحد مراكز الدعم الوظيفي بالرياض (واس),قضايا اجتماعية,السعودية
ليبيا: مجلس النواب يطالب بسحب جميع القوات الأجنبية من الأراضي الليبية قبل إجراء أي انتخابات,مبنى مجلس النواب الليبي في مدينة طبرق حيث انعقدت الجلسة الطارئة لمناقشة ملف الوجود العسكري الأجنبي (الجزيرة),سياسة,ليبيا
شباب فلسطيني يطلق منصة رقمية لتوثيق الموروث الثقافي الفلسطيني وحمايته من الاندثار,فريق المطورين الفلسطينيين خلال إطلاق المنصة التي تضم آلاف الوثائق والمقاطع الصوتية والمرئية التراثية (وفا),تقنية,فلسطين
الأردن يطلق خطة طوارئ لمواجهة موجة جفاف غير مسبوقة تهدد الأحواض المائية الرئيسية,منسوب المياه في سد الوحدة شمال الأردن يسجل أدنى مستوياته منذ عقدين وسط تحذيرات من أزمة مائية حادة (الجزيرة),بيئة,الأردن
مصر تُطلق منظومة جديدة لتقييم جودة التعليم في المدارس الحكومية بـ27 محافظة,طلاب في إحدى المدارس الحكومية بمحافظة الجيزة خلال حصة دراسية، في إطار مساعي وزارة التربية والتعليم لرفع مستوى الأداء التعليمي (الجزيرة),تعليم,مصر
أطفال بلا مأوى.. ظاهرة التسرب الأسري تُعيد رسم خريطة الشوارع في المحافظات المصرية,أطفال في أحد أحياء القاهرة الشعبية يقضون ساعات النهار في الأزقة بعيداً عن ذويهم، في مشهد بات يتكرر بصورة لافتة (الجزيرة),قضايا اجتماعية,مصر
أزمة الدواء تعصف بمرضى السرطان في لبنان.. شُح في الصيدليات وعجز عن الاستيراد,مريضة تتلقى جلسة علاج كيميائي في أحد مستشفيات بيروت وسط شُح حاد في الأدوية الأساسية (الجزيرة),مجتمع,لبنان
سوريا تستأنف تشغيل محطة كهرباء حلب الحرارية بعد سنوات من التوقف القسري,أعمدة دخان تتصاعد من مداخن محطة حلب الحرارية في أول أيام إعادة تشغيلها (الجزيرة),طاقة,سوريا
حرفة السدو العُمانية.. نساء الباطنة يُحيين نول الأجداد خشية الاندثار,حرفيات من محافظة شمال الباطنة يمارسن نسج السدو التقليدي بخيوط الصوف الملونة في إطار مبادرة محلية لإحياء الموروث الحرفي العُماني (صحيفة عُمان),مجتمع,عُمان
أزمة التعليم في السودان.. الحرب تُهجّر مئات الآلاف من الطلاب وتُغلق أبواب المدارس في دارفور وكردفان,أطفال سودانيون نازحون يجلسون في خيمة تعليمية مؤقتة بأحد مخيمات النزوح في ولاية النيل الأبيض، في ظل انقطاع دراسي طال أكثر من عام بسبب النزاع المسلح (رويترز),قضايا اجتماعية,السودان
