title,caption,topic,country
"السعودية تدشن برنامج ""قلبك أولاً"" للكشف المبكر عن قصور القلب المزمن",فريق طبي متخصص يقدم استشارات وفحوصات مجانية للكشف عن أمراض القلب في إحدى المراكز الصحية ضمن فعاليات برنامج وطني (شترستوك),صحة,السعودية
تقرير أممي يحذر: عشرات المدارس الرسمية في لبنان على شفا الانهيار وتفتقر لأدنى معايير السلامة,طلاب يتلقون دروسهم داخل فصول دراسية متهالكة في إحدى المدارس الرسمية شمال لبنان تفتقر لأعمال الصيانة (الفرنسية),تعليم,لبنان
الإمارات تطلق خطة استراتيجية طموحة لرعاية المواهب الرياضية الواعدة عالمياً,رياضيون إماراتيون ناشئون يتدربون في أحد المراكز الرياضية المتطورة، تجسيداً لأهداف الخطة الاستراتيجية الجديدة الرامية لصقل المواهب الواعدة. (وام),رياضة,الإمارات
"""بوابة الشرق الأوسط"": السعودية تطلق مبادرة طموحة لتعزيز منظومتها اللوجستية وتيسير التجارة الإقليمية",لقطة جوية حديثة لأحد المجمعات اللوجستية المتطورة في السعودية، تظهر مساحات واسعة لتخزين البضائع وشبكة طرق ربط سلسة، في إشارة إلى الاستثمارات الضخمة في البنية التحتية.,اقتصاد,السعودية
البحرين تكشف عن خطة عمل حكومية لدمج الشباب في صنع القرار وتعزيز الحوكمة,وزير شؤون الشباب البحريني يتحدث خلال مؤتمر صحفي للإعلان عن المبادرة الجديدة في المنامة (وكالة أنباء البحرين),سياسة,البحرين
تلمسان تستقبل ورش عمل مكثفة لإحياء فن الزليج الأندلسي وتأهيل جيل جديد من الحرفيين,صورة مقربة تُظهر أيادي حرفي جزائري شاب وهو يثبت بدقة قطعة زليج ملونة في لوحة فنية جدارية خلال إحدى الورش بمدينة تلمسان.,ثقافة,الجزائر
السعودية تدشن حملة وطنية واسعة لتعزيز الوعي بالصحة النفسية ومواجهة وصمة العار,لوحة إعلانية ضخمة تعرض شعار الحملة الوطنية لتعزيز الوعي بالصحة النفسية في أحد شوارع الرياض، تزامناً مع تدشينها (واس),قضايا اجتماعية,السعودية
تجاذبات المشهد السياسي المصري: دعوات لتوسيع قاعدة المشاركة قبيل استئناف الحوار الوطني,مشاركون من مختلف الأطياف السياسية في مؤتمر تشاوري بالقاهرة، في إطار التحضيرات لجولات الحوار الوطني المقبلة (مكتب الرئاسة المصرية).,سياسة,مصر
نادي جمهورية يحسم لقب الدوري الجيبوتي في مواجهة حامية الوطيس,لاعبو نادي جمهورية يحتفلون بلقب الدوري الجيبوتي وسط حشود جماهيرية في ملعب مدينة جيبوتي (الاتحاد الجيبوتي لكرة القدم),رياضة,جيبوتي
جيل بلا صفوف دراسية: أطفال السودان النازحون يواجهون أزمة تعليم وصحة نفسية متفاقمة,مجموعة من الأطفال النازحين يجلسون أمام خيمة مؤقتة في إحدى ضواحي ود مدني، يفتقدون مقاعد الدراسة ومرافق الرعاية (الأمم المتحدة),قضايا اجتماعية,السودان
"تدهور نتائج القادسية يثير غضب الجماهير ويزيد الضغط على إدارة ""القلعة الصفراء""",جماهير نادي القادسية تعرب عن استيائها خلال مباراة أخيرة شهدت خسارة فريقها ضمن منافسات الدوري الكويتي الممتاز (رويترز),رياضة,الكويت
عُمان تدشّن منصة سحابية وطنية ضخمة لتعزيز التحول الرقمي والتنوع الاقتصادي,وزير النقل والاتصالات وتقنية المعلومات العماني، م. سعيد البلوشي، يتفقد وحدات الخوادم الحديثة داخل مركز البيانات الوطني الجديد خلال حفل الافتتاح الرسمي في مسقط (وكالة الأنباء العمانية),تقنية,عُمان
المغرب يطلق مشروعاً ضخماً لرقمنة وترميم آلاف المخطوطات اليهودية العتيقة بفاس,لقطة مقربة لمخطوط يهودي قديم مفتوح، تظهر فيه الكتابة العبرية، مع أيادٍ ترتدي قفازات واقية تعمل على ترميم إحدى صفحاته داخل مختبر متخصص بمدينة فاس (وكالة الأنباء المغربية),ثقافة,المغرب
الريان يعزز صدارته لدوري نجوم قطر بفارق تاريخي ويقترب من اللقب الغائب,لاعب من نادي الريان يحتفل بتسجيل هدف في إحدى مباريات دوري نجوم قطر على استاد أحمد بن علي (الجزيرة),رياضة,قطر
تفاقم تلوث المياه الجوفية يهدد الأمن الغذائي في سهل البقيعة بالضفة الغربية,مزارع فلسطيني يتفقد محصولاً متضرراً جراء تلوث المياه في سهل البقيعة بالضفة الغربية.,بيئة,فلسطين
البرلمان الموريتاني يشرع في مناقشة تفصيلية لمشروع قانون إصلاح النظام الانتخابي,جانب من القاعة الرئيسية للجمعية الوطنية الموريتانية خلال إحدى الجلسات التشريعية الأخيرة في نواكشوط (وكالة الأنباء الموريتانية),سياسة,موريتانيا
البحرين تدشن مركز بيانات سحابي ضخم لتعزيز تنافسيتها الإقليمية,واجهة مركز بيانات سحابي حديث في العاصمة البحرينية المنامة (رويترز),تقنية,البحرين
مدارس الضفة الغربية تدمج المهارات الرقمية والمهنية في مناهجها لتعزيز فرص الشباب,طلاب فلسطينيون يعملون على مشاريع تطبيقية في مختبر تقني بإحدى مدارس رام الله، ضمن المبادرة الجديدة لتعزيز المهارات (رويترز),تعليم,فلسطين
"""لمحة صومالية"" يفتتح أبوابه في مقديشو لتعزيز الفنون المحلية وهويتها","وزير الثقافة الصومالي ومسؤولون محليون أثناء قص شريط الافتتاح أمام مدخل متحف ""لمحة صومالية"" الجديد في مقديشو (وكالة الأنباء الصومالية)",ثقافة,الصومال
حملة شبابية بجزر القمر تطلق مبادرات مبتكرة لمستقبل بحري مستدام,شباب متطوعون من جزر القمر يفرزون النفايات البلاستيكية التي جمعوها من شاطئ محلي ضمن جهودهم لحماية البيئة البحرية.,مجتمع,جزر القمر
الاتحاد العُماني لكرة القدم يوافق على زيادة عدد اللاعبين الأجانب في دوري عمانتل,جانب من اجتماع مجلس إدارة الاتحاد العُماني لكرة القدم لمناقشة اللوائح الجديدة لدوري عمانتل للمحترفين.,رياضة,عُمان
عُمان تدشن المرحلة التشغيلية الأولى لمشروع الدقم للهيدروجين الأخضر بحضور دولي,وزير الطاقة والمعادن العُماني، الدكتور سالم العوفي (يسار)، وممثل عن ائتلاف الشركاء الدوليين خلال جولة تفقدية لمرافق مشروع الهيدروجين الأخضر في الدقم، الأربعاء. (وكالة الأنباء العُمانية),طاقة,عُمان
مصر تعلن خطة واسعة لإصلاح التعليم الفني ليتماشى مع متطلبات الصناعة الحديثة,طلاب مصريون يتدربون على تشغيل آلات حديثة داخل ورشة عمل فنية في إحدى المعاهد المتخصصة في القاهرة. (رويترز),تعليم,مصر
"قطر تدشن توسع ""حقل الشمال"" الأضخم عالمياً.. قفزة استراتيجية لتأمين إمدادات الطاقة",منظر بانورامي لمرافق معالجة الغاز المسال العملاقة في مدينة رأس لفان الصناعية بقطر، والتي تعد مركزاً حيوياً لمشروع توسعة حقل الشمال.,اقتصاد,قطر
حادث مروع على أوتوستراد الشمال يودي بحياة خمسة أشخاص ويصيب عشرة آخرين في لبنان,مشهد من موقع حادث التصادم المروع على أوتوستراد الشمال، يظهر فيه عدد من المركبات المتضررة وسيارات الإسعاف وعناصر الدفاع المدني أثناء عمليات الإغاثة وسحب الجرحى (الدفاع المدني اللبناني).,حوادث,لبنان
تحول تاريخي: الدوري العراقي الممتاز يقرّ تطبيق تقنية حكم الفيديو (VAR) رسمياً,لقطة من إحدى مباريات الدوري العراقي الممتاز (أرشيفية)، تظهر اللعب الجاري، في انتظار تطبيق تقنية حكم الفيديو المساعد (VAR) لتعزيز العدالة التحكيمية.,رياضة,العراق
انهيار جزء من جسر قيد الإنشاء في الدمام يثير تساؤلات حول معايير السلامة,فرق الإنقاذ تعمل على إزالة الركام من موقع انهيار جزء من جسر قيد الإنشاء على طريق الملك فهد في الدمام (الدفاع المدني السعودي).,حوادث,السعودية
اليمن: مبادرة إقليمية جديدة تستهدف تمكين الإدارة المحلية في المناطق المحررة,وفد دولي وإقليمي يجتمع مع مسؤولين محليين في مدينة مأرب، اليمن، خلال ورشة عمل حول تحديات الحكم المحلي، 15 مايو 2024 (رويترز),سياسة,اليمن
أبوظبي تستضيف جولة محادثات مكثفة حول مستقبل الانتقال السياسي في السودان,ممثلون عن الأطراف المدنية والعسكرية السودانية يلتقون في قاعة اجتماعات بالعاصمة الإماراتية أبوظبي لمناقشة سبل إنهاء الأزمة السياسية الراهنة (وكالة أنباء الإمارات),سياسة,الإمارات
"الجزائر تطلق ""الورشات النموذجية"": برنامج وطني لتعزيز التعليم المهني وتجسير الفجوة مع متطلبات السوق",طلاب في ورشة عمل تقنية داخل معهد للتكوين المهني بولاية وهران يقومون بتطبيق عملي على أنظمة التحكم الرقمي، ضمن البرنامج الوطني الجديد (وكالة الأنباء الجزائرية).,تعليم,الجزائر
رغم تحديات المناخ.. الصادرات الفلاحية المغربية تسجل طفرة نوعية وتتجاوز التوقعات,مزارعون مغاربة يجنون محصول الطماطم المعد للتصدير في سهل الغرب (رويترز),اقتصاد,المغرب
حرفيو القاهرة التاريخية: فنون الأجداد تواجه تحديات البقاء في قلب العاصمة,حرفي مصري مسن يزين قطعة خشبية بزخارف تقليدية داخل ورشة عتيقة في حي الجمالية بالقاهرة.,ثقافة,مصر
سلطنة عمان تبرم اتفاقية تاريخية لتطوير مجمع ضخم للهيدروجين الأخضر بالدقم,تصور فني للمرحلة الأولى من مشروع مجمع إنتاج الهيدروجين الأخضر الضخم في المنطقة الصناعية بالدقم، عُمان (صورة توضيحية/وكالات).,طاقة,عُمان
تونس تطلق برنامجاً وطنياً لتعزيز تنافسية زيت الزيتون البكر الممتاز في الأسواق العالمية,عمال تونسيون يفحصون جودة زيت الزيتون البكر الممتاز في أحد المعاصر الحديثة بمدينة سوسة، استعداداً للتصدير.,اقتصاد,تونس
الكويت تطلق استراتيجية وطنية طموحة لتعزيز الكشف المبكر عن الأمراض المزمنة,طبيب يشرح نتائج فحص دوري لمريض في أحد المراكز الصحية بالكويت، ضمن حملة توعية بأهمية الكشف المبكر (رويترز).,صحة,الكويت
الصومال يكشف عن خطة خمسية طموحة لمضاعفة إنتاج الثروة السمكية بدعم دولي,صيادون صوماليون يحملون صيداً وفيراً من الأسماك على متن قاربهم قبالة ساحل بندرغاز في بونتلاند (الفرنسية),اقتصاد,الصومال
نقص المياه يتفاقم في القرى الشرقية بموريتانيا ويدفع عشرات الأسر للنزوح,نساء وأطفال يحملون أوعية فارغة قرب بئر جافة في إحدى القرى المتضررة من شح المياه شرق موريتانيا.,مجتمع,موريتانيا
"مرسوم سلطاني في عُمان يؤسس ""المجلس الوطني للبحث العلمي والابتكار""",وزير الاقتصاد العماني يقف إلى جانب خريطة توضح المشاريع الاستراتيجية المستقبلية للسلطنة ضمن رؤية 2040 (وكالة الأنباء العمانية),سياسة,عُمان
الصومال: افتتاح ملعب مقديشو الدولي بحلة جديدة يفتح آفاقاً للرياضة الوطنية,صورة جوية تظهر ملعب مقديشو الدولي المتجدد بالكامل، مزيناً بالأعلام الصومالية ومضاءً بالأنوار خلال حفل الافتتاح بحضور جماهيري غفير.,رياضة,الصومال
خبراء: حوافز الاستثمار الجديدة في السعودية تعزز مكانتها كمركز اقتصادي إقليمي,أبراج حديثة في العاصمة السعودية الرياض تعكس التطور الاقتصادي المتسارع (غيتي),سياسة,السعودية
"قطر تدشن استراتيجية وطنية ""طموحة"" للصحة النفسية: مئات المبادرات النوعية لتعزيز الرفاه الشامل",جانب من ورشة عمل مجتمعية لرفع الوعي بالصحة النفسية، ضمن فعاليات إطلاق الاستراتيجية الجديدة (قنا),صحة,قطر
أمواج المحيط تبتلع سواحل جيبوتي: ارتفاع منسوب البحر يهدد سبل عيش الصيادين,"صياد جيبوتي يتفقد حاجزاً رملياً مؤقتاً أقامه لحماية أساسات منزله من زحف البحر على شاطئ ""أوبوك"" (رويترز)",بيئة,جيبوتي
المدارس المغلقة والنزوح يحرمان آلاف الأطفال السودانيين من حق التعليم,طفل سوداني يحمل حقيبة مدرسية بالية ويسير على طريق ترابي قرب مخيم للنازحين في ولاية الجزيرة، السودان، في إشارة إلى صعوبة الوصول للمدارس.,قضايا اجتماعية,السودان
"مبادرة ""نحو المستقبل"" تدرب شباب مخيمات الضفة الغربية على مهارات رقمية متقدمة",مجموعة من الشبان الفلسطينيين يتدربون على تصميم الويب والبرمجة داخل مركز مجتمعي في مخيم قلنديا بالضفة الغربية ضمن مشروع لتأهيل الشباب لسوق العمل (وفا),مجتمع,فلسطين
