title,caption,topic,country
العراق: تزايد الوعي بالصحة النفسية يواجه نقصاً حاداً في المتخصصين والموارد,طبيب نفسي عراقي يقدم جلسة استشارية في مركز للدعم النفسي في أربيل، مع تزايد الدعوات لتطوير قطاع الصحة العقلية في البلاد (رويترز),قضايا اجتماعية,العراق
تحذيرات بيئية من تفاقم أزمة النفايات الصلبة في القرى الفلسطينية بالضفة الغربية,أكوام من النفايات المتراكمة على مقربة من أراضٍ زراعية تظهر فيها أشجار زيتون، مع بروز بعض الانبعاثات الخفيفة منها في إحدى قرى الضفة الغربية.,بيئة,فلسطين
دمشق: مدرسة تاريخية تعود للحياة بعد مشروع ترميم ضخم لتعزيز التعليم,طلاب يدخلون باحة مدرسة ابن رشد العتيقة بدمشق بعد إعادة ترميمها وافتتاحها (مصدر محلي),تعليم,سوريا
مبادرات مجتمعية رائدة في السعودية لمواجهة العزلة الاجتماعية لكبار السن,متطوعون شباب يشاركون كبار السن في نشاط ترفيهي ودمجي ضمن إحدى المبادرات الاجتماعية في مدينة جدة (وكالة الأنباء السعودية - واس),قضايا اجتماعية,السعودية
تأجيل مشاريع الزواج يتفاقم بين الشباب الأردني بفعل الضغوط الاقتصادية,زوجان شابان يتصفحان إعلانات عقارية مكلفة في نافذة أحد المكاتب العقارية بعمان، مما يعكس تحديات الإسكان (رويترز),قضايا اجتماعية,الأردن
حضرموت تكشف عن نقوش صخرية نادرة تضيء عصور اليمن السحيقة,باحث محلي يقوم بتوثيق إحدى النقوش الصخرية المكتشفة حديثًا في أحد أودية حضرموت الوعرة، تظهر عليها رموز وكتابات قديمة (وكالة سبأ للأنباء).,ثقافة,اليمن
مبادرات شبابية بالجزائر تعيد إحياء التراث اللامادي بلمسة عصرية,شابات جزائريات يتدربن على صناعة الزرابي التقليدية في ورشة محلية بمدينة غرداية، كجزء من جهود مجتمعية للحفاظ على الفنون الحرفية الأصيلة.,مجتمع,الجزائر
بعد عقود من الإهمال.. أيقونات قبطية نادرة تعود للحياة في كنيسة بصعيد مصر,لوحة جدارية ملونة حديثة الترميم تصور قديساً قبطياً داخل الكنيسة التاريخية التي شهدت أعمال ترميم واسعة، بصعيد مصر.,ثقافة,مصر
تصاعد دعوات دولية لدعم استئناف التعليم العالي بالسودان بعد الأضرار الجسيمة,لقطة جوية تظهر الأضرار الهيكلية لأحد مباني جامعة أم درمان الإسلامية في السودان (رويترز),تعليم,السودان
"الأردن يطلق ""برنامج وطن الصناعة"" لتعزيز تنافسية المنتجات المحلية في الأسواق العالمية",عمال أردنيون يتفقدون خط تعبئة لمنتجات غذائية محلية في إحدى مناطق الصناعات الصغيرة والمتوسطة بمدينة الحسن الصناعية.,اقتصاد,الأردن
